title,year,hint_1,hint_2,hint_3,hint_4
"A Bridge Too Far",1977,"A 1977 war epic that assembled roughly every male movie star alive at the time and then spent three hours methodically killing their characters' morale.","Operation Market Garden was an Allied plan to leapfrog across Dutch crossings into Germany and end the war by Christmas, which is exactly the kind of optimism that gets a screenplay written about you decades later.","Consider what you're admitting by not having gotten this yet — paratroopers, gliders, the Rhine, and a plan that overreached by exactly the distance named in the title.","The clue is in the tagline structure. A span. An adverb. An adjective meaning excessive distance. String them together."
"A Bug's Life",1998,"A 1998 computer-animated feature released the same year as a competing insect movie from DreamWorks, in what may be the only time in history two studios raced to anthropomorphize the same phylum.","An inventive ant hires what he believes to be warrior bugs but are in fact unemployed circus performers, which is the plot of nearly every workplace I've ever been in.","Take a breath. Think about what decade you're in. Now think about the studio that owned that decade in animation, and what tiny creatures they hadn't gotten around to yet.","Flik, Hopper, a colony of ants, and a title that is exactly what it says on the tin."
"A Complete Unknown",2024,"A 2024 biopic about the moment a folk singer plugged in an electric guitar and a generation of acoustic purists clutched their pearls so hard they sprained their wrists.","A 19-year-old from Minnesota shows up in Greenwich Village with a guitar and an attitude, refuses to explain himself, and proceeds to rewrite American music while everyone around him asks who he thinks he is.","Between you and me, this is embarrassing. The title is a lyric from one of the most famous songs ever written by the subject of the film.","Newport, 1965. He goes electric. The crowd boos. The title is from ""Like a Rolling Stone,"" and the man it's about is Bob Dylan."
"A Few Good Men",1992,"A 1992 courtroom drama where the entire film exists as scaffolding for a single shouted line that has been quoted, parodied, and ringtoned into oblivion.","A cocky Navy lawyer who'd rather play softball than try cases gets handed a murder at Guantanamo, and spends two hours working up the nerve to put a screaming colonel on the stand.","Whatever you're doing isn't working. The most famous line in the movie is a colonel insisting that the protagonist is incapable of handling a particular noun.","""You can't handle the truth!"" — and the title is what the Marines are looking for, which they apparently could not find."
"A Fish Called Wanda",1988,"A 1988 heist comedy that paired a Monty Python alum with American actors and let the result simmer until it produced what might be the finest stuttering joke in cinema history.","A barrister, a con woman, a jealous weapons enthusiast who quotes Nietzsche badly, and an animal lover who keeps accidentally killing elderly women's dogs walk into a diamond robbery.","I want to give you the benefit of the doubt here, but — there's an aquarium, a swallowed pet, and a steamroller execution played for laughs. Ring any bells?","The title is a woman's name, preceded by an article and a creature that swims. Kevin Kline won an Oscar for being an idiot. Go."
"A League of Their Own",1992,"A 1992 sports comedy that finally answered the question of what happened to professional baseball when all the men were drafted, which is: women played it, and were quietly excellent.","The coach is a washed-up drunk who learns to care, the catcher is a farm wife with a rocket arm, and somewhere along the way somebody declares there's no crying in the sport.","We've been at this long enough — rosie the riveter energy, a candy magnate's publicity stunt, and a sisterly rivalry that ends in a deliberately dropped ball.","""There's no crying in baseball."" That's the most quoted line. The title is a possessive phrase about belonging somewhere uniquely yours."
"A Minecraft Movie",2025,"A 2025 adaptation of a video game with no story, no characters, and no plot, which Hollywood interpreted as a creative opportunity rather than a warning.","Four misfits get sucked through a portal into a blocky dimension where a bearded crafter teaches them about imagination, and theater kids worldwide began screaming ""Chicken Jockey"" at the screen.","You're making this harder than it is — cubes, pixels, pickaxes, and the highest-grossing video game adaptation in history despite being widely regarded as a fever dream.","The game's name is in the title. Add an article and a word for a feature-length cinematic release. There you go."
"A Passage to India",1984,"A 1984 epic from a director who specialized in landscapes so vast they made the human drama in front of them look like an afterthought, which was rather the point.","An Englishwoman, a local doctor, a trip to some caves, and an accusation that detonates an entire colonial friendship — all the empire's anxieties packed into one trial.","Look, I'm not judging you. I am, but I'm not showing it — the title is a noun meaning ""journey"" followed by the destination, a subcontinent under British rule.","The director's name is in the tagline. The subcontinent is in the title. A journey to a country. That's the answer."
"A Quiet Place Part II",2021,"A 2021 sequel that opens with a flashback to day one of the invasion, which is the cinematic equivalent of saying ""and also, here's what you missed.""","The family ventures out of the farmhouse, finds a bitter survivor hiding in a steel mill, and the deaf daughter quietly becomes the most competent person in the entire franchise.","This one has been on television roughly four hundred times. It's a sequel. Add a number to the original and you're done.","The Abbotts. The creatures with terrible eyesight. The hearing aid feedback that turns out to be a weapon. Same title as the first one, just with more after it."
"A Quiet Place: Day One",2024,"A 2024 prequel that answered the question nobody asked: what was the very first afternoon of the sound-monster apocalypse like, and the answer is ""loud, in Manhattan.""","A terminally ill poet, a law student, and a cat named Frodo wander a silent New York while creatures with excellent hearing patrol the avenues.","The audience at home figured this out — it's a prequel to the franchise about monsters who hunt by sound, set on the inaugural twenty-four hours of the invasion.","The original two-word franchise name, then a colon, then the calendar phrase meaning ""the first."" Frodo the cat does most of the heavy lifting."
"A Room with a View",1986,"A 1986 Merchant Ivory production so committed to Edwardian repression that the most erotic moment in the film is two people accidentally touching hands in a field of poppies.","A young Englishwoman in Florence faints at the sight of a stabbing and is caught by a young man who then kisses her in a barley field, which counts as third base in 1907.","You've seen this — a corseted heroine, a chaperone with opinions about everything, a swim in a pond by three men who lose their clothes, and a fiancé so insufferable he reads aloud from novels.","Florence. Surrey. A pension with a window problem. The title is the complaint the heroine makes on page one."
"A Serious Man",2009,"The Coen brothers made a deeply Jewish parable about a man whose life unravels for no discernible reason, which is either theology or just Tuesday.","A physics professor watches his marriage, career, and sanity collapse while three rabbis offer escalating levels of useless wisdom, the last of whom won't even see him.","Either you haven't seen this, or you have and that's somehow worse — there's a dybbuk in the prologue, a tornado at the end, and a Jefferson Airplane song doing most of the heavy lifting in between.","The tagline is almost the title. Replace ""mystery"" with ""man,"" add an adjective meaning grave or earnest, and you're there."
"A Soldier's Story",1984,"A 1984 film based on a Pulitzer-winning play, made at a moment when Hollywood briefly remembered that Black stories existed and could also be murder mysteries.","A military lawyer arrives at a Louisiana base to investigate a killing, and the deeper he digs the more he realizes the victim may have been hated by his own men more than by the Klan.","At this point I have to ask — did the word ""Soldier"" in the tagline give nothing away? It's a story. About a soldier. The title is doing the bare minimum and you're still not meeting it halfway.","Sergeant Waters, dead in the opening scene, Captain Davenport investigating, and Denzel Washington in one of his earliest big roles. The title is two words. One is a profession, the other is what you're failing to retrieve."
"Ace Ventura: Pet Detective",1994,"A 1994 comedy that asked the question nobody was asking — what if a private investigator existed solely to recover lost parrots and stolen dolphins, and what if he talked out of his own ass.","The case involves a missing aquatic mammal belonging to a Miami football team, and the investigation is conducted entirely by a man whose hair has its own gravitational field.","The fact that you're still guessing tells me something about you — the lead actor was paid $350,000 for this and it launched a career that would soon command twenty million.","""Alrighty then."" A tutu. A talking butt. Dan Marino in a cameo. The title is the character's name and his job."
"Ace Ventura: When Nature Calls",1995,"A 1995 sequel that relocated the franchise to Africa, because every comedy in the nineties eventually decided the answer was ""more passport stamps.""","The hero is summoned from a Tibetan monastery to recover a sacred bat for a tribe whose princess is about to marry into a rival tribe, and yes, the bat is the only thing keeping the peace.","I want you to think carefully about what you actually know — a man emerges from a mechanical rhinoceros in a scene that traumatized a generation of safari tourists.","The hair is back. The talking butt is back. The franchise is the answer and this is the second one."
"Addams Family Values",1993,"A 1993 sequel that is somehow sharper, funnier, and meaner than its predecessor, which is the rarest trick in Hollywood.","Wednesday gets shipped to summer camp, where she's forced to participate in a Thanksgiving pageant and delivers a monologue about Pilgrims that should be taught in schools.","Let me be direct with you. The tagline contains the family's last name. There's only one family in cinema where ""a little stranger"" is a compliment. They snap their fingers. They have a butler named Lurch.","Gomez. Morticia. Pugsley. Wednesday. A baby named Pubert. The first word of the title is the family name, the second word is in the tagline, the third is what they have in abundance."
"Air Force One",1997,"A 1997 thriller built on the premise that the most powerful man in the world is also, when push comes to shove, willing to throw a Russian terrorist out of a cargo hold personally.","The hijackers take over the most secure aircraft on the planet, apparently unaware that the man in the suit used to crack a whip and fly the Millennium Falcon.","You know this one — a presidential plane, a parachute escape sequence, and the most quotable airborne ultimatum of the decade involving the words ""get off.""","Gary Oldman sneering in Russian, a President who fights back, and a tail number that's also the title."
"Airplane!",1980,"A 1980 parody that ended several careers, started several others, and permanently destroyed any ability to take the disaster genre seriously ever again.","A former pilot with a drinking problem has to land a commercial flight after the crew gets food poisoning, and also there's an inflatable autopilot named Otto who needs to be blown up. Literally.","Here's what I know about you right now — you've heard ""Don't call me Shirley"" at least forty times in your life, and you still can't connect it to a movie whose title is a mode of transportation with an exclamation point.","""Surely you can't be serious."" ""I am serious. And don't call me Shirley."" The title is what they're on. With a punctuation mark to indicate enthusiasm."
"Airport '77",1977,"The third entry in a 1970s franchise that asked the question: what if we put famous people on a plane and then broke the plane?","This one sinks the aircraft into the Bermuda Triangle, because the previous two were merely on fire and merely exploding, and the producers felt water was a fresh new texture.","This is the part where I stop being polite about it — the tagline tells you it's flight 23, the genre is ""disaster on a plane,"" and the title is the same as two other movies plus a year.","The franchise name is in the title, followed by the year the film came out. That's the whole formula. Plane. Year. Done."
"Aladdin",1992,"A 1992 animated film whose entire production was reorganized around letting one comedian improvise into a microphone for several hundred hours.","A street thief finds a lamp, rubs it, and unleashes a blue genie who proceeds to do impressions of celebrities the target audience of seven-year-olds had never heard of.","I'm going to need you to search your memory more aggressively. A magic carpet. A monkey named Abu. A villain with a parrot. A song about a whole new world. This is foundational Disney, come on.","""You ain't never had a friend like me."" Jasmine, Jafar, the Cave of Wonders, and a Genie voiced by Robin Williams. The title is the boy's name."
"Alice in Wonderland",2010,"A 2010 film where a visionary director with a known weakness for spirals, stripes, and his frequent leading man takes a beloved children's story and runs it through the CGI machine until it screams.","A nineteen-year-old heroine returns to a hallucinatory kingdom and is told her destiny involves slaying a dragon, which is a lot to put on a teenager who came for the tea.","Consider what you're admitting by not having gotten this yet. A blonde girl, a rabbit hole, a Mad Hatter with orange hair and a Scottish accent — the tagline literally tells you about the date.","The Red Queen has a giant head. The Cheshire Cat floats. Tim Burton made it. The girl's name is in the title."
"Aliens",1986,"A 1986 sequel from a filmmaker who looked at a slow, claustrophobic horror masterpiece and said ""what if there were more of them and also machine guns.""","A traumatized survivor is talked into going back to the planet that ruined her life, this time with a platoon of Marines who are confident for roughly twelve minutes.","Take a breath. Think about what decade you're in. Shoulder pads, synth scores, and Ripley strapping into a forklift exoskeleton to fight a queen.","""Get away from her, you BITCH."" Add an S to the first one. You're done."
"All That Jazz",1979,"A 1979 semi-autobiographical confession from a director who looked at his own pill-popping, womanizing, workaholic life and thought, ""You know what this needs? A musical number.""","A Broadway choreographer edits a film by day, stages a dance number by night, and chats up the Angel of Death between cigarettes — which is one way to handle a midlife crisis.","Between you and me, this is embarrassing — there's an open-heart surgery sequence intercut with chorus girls, and somehow that's the second most theatrical thing in the movie.","""It's showtime, folks."" Bob Fosse putting his own funeral on stage with jazz hands — the title is three words and the last one rhymes with ""razz."""
"All the President's Men",1976,"A 1976 film made about events that had concluded approximately fifteen minutes earlier, which is the journalistic equivalent of livestreaming.","Two reporters in a fluorescent-lit newsroom slowly pull a thread that ends with a sitting president resigning, mostly by making phone calls and looking concerned in parking garages.","Whatever you're doing isn't working. A shadowy informant named after a pornographic film, a break-in at the Watergate, and the Washington Post breaking the biggest political story of the century.","Follow the money. Deep Throat. Woodward and Bernstein. The title is what they brought down — every one of them."
"Almost Famous",2000,"A 2000 film where a former teenage Rolling Stone correspondent finally got to direct his own coming-of-age story, and somehow convinced everyone he hadn't made the whole thing up.","A fifteen-year-old boy goes on tour with a fictional band called Stillwater, gets seduced by a girl who insists she's not a groupie, and learns that ""I am a Golden God"" is something people will actually shout from a roof.","I want to give you the benefit of the doubt here, but — Tiny Dancer on a tour bus, a mother screaming ""don't do drugs"" into a payphone, and a fake band that everyone wishes were real.","Two words. The first means ""nearly."" The second is what the band in the movie is trying to become. Connect the dots."
"Amadeus",1984,"A 1984 Best Picture winner about classical music that somehow made eighteenth-century Vienna feel like a backstage rivalry at a high school talent show.","A mediocre court composer becomes convinced that God has given divine genius to a giggling, vulgar little man-child, which is the most relatable villain origin in cinema.","We've been at this long enough. Powdered wigs, a cackling laugh that sounds like a hyena being tickled, and Salieri narrating his entire jealous breakdown from an asylum.","It's Mozart's middle name. That's the title. Go."
"American Fiction",2023,"A 2023 debut feature that walked into the discourse about what white audiences expect from Black art and set the whole conversation on fire while smiling politely.","A frustrated literary novelist writes the most offensive, stereotype-stuffed manuscript he can think of as a joke, and watches in horror as the publishing industry hands him a bag of money.","You're making this harder than it is. Based on a novel called Erasure, a professor named Monk, and a fake book within the movie eventually titled with a word that rhymes with ""duck.""","The first word is a country. The second word is the opposite of nonfiction."
"American Graffiti",1973,"A 1973 film made by a young filmmaker before he discovered spaceships, in which he simply pointed a camera at the cars, songs, and diners of his teenage years.","One night, four kids, a drag race, a mysterious blonde in a white T-Bird, and a disc jockey called Wolfman Jano one in this movie has any business being this nostalgic this young.","Look, I'm not judging you. I am, but I'm not showing it. Sock hops, cruising the strip, Mel's Drive-In, and a closing title card that tells you what happened to each boy because the girls apparently didn't matter.","George Lucas before the lightsabers. The title is two words — the second word means writing on a wall, the first word is a country."
"American Hustle",2013,"A 2013 film loosely based on a real FBI sting operation, in which the director's chief creative decision appears to have been ""everyone gets the biggest hair of their life.""","A con artist with an elaborate comb-over and his partner get roped into an FBI scheme involving fake sheikhs, real politicians, and a microwave that explodes a piece of ""science oven"" technology.","This one has been on television roughly four hundred times. Disco-era New Jersey, ABSCAM, plunging necklines, and a wife who keeps almost ruining everything on purpose.","First word is a country. Second word is what everyone in the movie is doing."
"American Pie",1999,"A 1999 teen comedy that single-handedly made an entire generation of parents nervous about what was cooling on the kitchen counter.","Four high school seniors make a pact to lose their virginity by prom, and one of them has a now-infamous encounter with a baked good that I am not going to describe further.","The audience at home figured this out. The tagline says ""first piece,"" the title is a dessert, and a band camp anecdote became a national catchphrase.","First word is a country. Second word is what Jason Biggs is doing things to."
"American Sniper",2014,"A 2014 war film directed by a man better known for squinting at people in westerns, now squinting at the moral cost of four tours in Iraq.","The protagonist is a Texas cowboy turned Navy SEAL whose first confirmed kill in the film is a child, which is the movie's way of telling you to settle in.","You've seen this — a rooftop, a rifle scope, a crackling radio, and a plastic baby doll that became more famous than half the supporting cast.","The Legend. 160 confirmed kills. A man who came home and couldn't, really. Title is his nationality and his job."
"An Education",2009,"A 2009 coming-of-age film set in the early sixties, when a charming older man with a sports car was considered a romantic opportunity rather than a court case.","A bright schoolgirl on track for Oxford is detoured by a suitor whose business dealings, marital status, and entire personality are best described as ""let me explain.""","Either you haven't seen this, or you have and that's somehow worse — the title is what the girl gets, and not the one her parents were paying for.","Carey Mulligan's breakout. The word you want is what schools provide, ironically used."
"An Officer and a Gentleman",1982,"A 1982 film that ends with one of the most parodied romantic gestures of the decade — a man in a white uniform carrying a woman out of a factory while a soft rock ballad insists love will lift us up where we belong.","A drill sergeant tries to break a self-involved cadet, the cadet falls for a local girl with a plan, and somewhere in there everyone learns something about character through push-ups.","At this point I have to ask — have you ever heard the phrase ""up where we belong""? Because that song was written for this movie and won an Oscar.","Two nouns connected by ""and."" The first is a military rank. The second is what he becomes by the end."
"An Unmarried Woman",1978,"A 1978 film that took the post-divorce woman seriously at a moment when most of Hollywood was still treating her as a punchline or a corpse.","The protagonist's husband leaves her for a younger woman in the middle of Manhattan, and the film spends two hours watching her decide whether she actually needs a replacement.","The fact that you're still guessing tells me something about you — the title is a marital status with a negation in front of it, and the tagline literally ends with the answer.","I already said it. Read the tagline again. The last three words."
"Anatomy of a Fall",2023,"A 2023 Palme d'Or winner that turned a marital argument into evidence and asked a courtroom to decide which spouse was the worse writer.","A man falls from a chalet window, his wife is on trial, and the only witness is a blind boy with a dog who deserved his own Oscar campaign and arguably got one.","I want you to think carefully about what you actually know — the title is a medical-sounding noun, followed by ""of a,"" followed by the thing that happens in the first five minutes.","The dog's name is Snoop. The title describes what gets dissected in court. Three words."
"Angels & Demons",2009,"A 2009 sequel to a film about a Harvard professor whose hair did most of the acting, this time relocated to the Vatican for maximum stained-glass exposition.","Four cardinals are kidnapped, an ancient secret society is allegedly back, and a symbologist sprints through Rome solving puzzles at the pace of a man who knows he's billing by the hour.","Let me be direct with you — the title is two plural nouns connected by an ampersand. One group lives upstairs, the other downstairs.","Robert Langdon. The Illuminati. The title is the spiritual binary, plural on both sides."
"Annie Hall",1977,"A 1977 film that beat Star Wars for Best Picture, which is the kind of fact people bring up at parties to make sure you know they read.","A neurotic New York comedian and a flighty Midwestern singer fall in love, break up, get back together, break up again, and somewhere in there she wears a tie better than any man in the film.","You know this one. The title is a woman's first name and last name. The last name rhymes with ""mall."" She wears a vest.","La-di-da, la-di-da. The title is her name. The actress won an Oscar and started a fashion trend in the same ninety minutes."
"Anora",2024,"A 2024 Palme d'Or winner that opens like a Cinderella story and slowly reveals itself to be a very long, very loud night in Brighton Beach.","A Brooklyn sex worker marries a Russian oligarch's son on a whim, and his parents respond with the diplomatic finesse of a SWAT team in tracksuits.","Here's what I know about you right now — you've heard the title, it's a woman's name, and it won Best Picture less than a year ago.","Mikey Madison won the Oscar. The title is the protagonist's name, which she insists is actually Ani."
"Another Round",2020,"A 2020 Danish film that asks whether sustained low-grade drunkenness might improve a man's life, and then has the nerve to mostly answer yes.","Four high school teachers run a scientific experiment on themselves involving blood alcohol levels and a Hemingway-adjacent hypothesis, which goes about as well as you'd expect until it suddenly goes worse.","This is the part where I stop being polite about it — the title is two words, the second one is what a bartender asks if you want.","Mads Mikkelsen dancing on a dock at the end. The title is what you order when the first one worked."
"Ant-Man and the Wasp: Quantumania",2023,"A 2023 entry in a superhero franchise that was running out of letters in the alphabet and decided the answer was a man named Kang yelling at a CGI broccoli.","A family-friendly hero and his daughter accidentally get sucked into a subatomic dimension full of green-screen creatures, and the multiverse saga officially stopped being fun right around here.","I'm going to need you to search your memory more aggressively — a tiny hero, his winged partner, and a subtitle that sounds like a Las Vegas residency about the small world.","Paul Rudd shrinks. The colon is followed by a made-up word combining ""quantum"" and a country famous for sombreros."
