title,year,hint_1,hint_2,hint_3,hint_4
"Soul",2020,"A Pixar film from 2020 that asked, ""What if we made a movie about jazz, mortality, and existential purpose, and aimed it at seven-year-olds?""","The protagonist is a middle school band teacher who finally lands his big gig and then immediately falls down a manhole, which is the universe's way of saying read the room.","Between you and me, this is embarrassing. The title is the thing every person allegedly has. One word. Four letters.","A piano, a New York jazz club, and a little blue spirit named 22 voiced by Tina Fey. The word is the one Motown built a genre on."
"Sound of Metal",2020,"A 2020 indie drama that used audio design as character, immersing you in what a drummer hears as his world quietly disappears.","A recovering addict who plays loud, abrasive music for a living begins losing the one sense his entire identity depends on, which is the kind of irony screenwriters dream about.","Whatever you're doing isn't working. A punk percussionist, a girlfriend who checks him into a deaf community, and cochlear implants that don't fix what he hoped they would.","Riz Ahmed got an Oscar nomination for this. The title is a genre of music and what it makes."
"Space Jam",1996,"A mid-90s film that asked the question nobody asked: what if the most famous athlete on the planet teamed up with a rabbit who wears lipstick?","The plot involves cartoon characters being enslaved by aliens at an intergalactic theme park unless they win a basketball game, which is a premise that could only have been greenlit during the Clinton administration.","I want to give you the benefit of the doubt here, but — Looney Tunes, the greatest basketball player ever, and a soundtrack you can still sing every word of.","Bugs Bunny. Michael Jordan. The Monstars. The title is a location and a verb. Get your head in the —"
"Spaceballs",1987,"A 1987 parody made by a comedy legend who had already destroyed the Western and the horror movie and decided the galaxy far, far away was next.","Features a villain whose helmet is roughly the size of his entire body, a half-man-half-dog sidekick, and merchandising jokes that predicted the next forty years of Hollywood.","We've been at this long enough. It's a one-word title. It rhymes with ""race calls."" It's spoofing the biggest sci-fi franchise of all time.","Dark Helmet, Lone Starr, Pizza the Hutt, and the immortal command: ""Comb the desert!"" Mel Brooks wrote it, directed it, and played Yogurt."
"Speed",1994,"A 1994 action movie built on a premise so stupid and so perfect that the pitch meeting probably lasted eleven seconds.","A bus cannot go below 50 miles per hour or it explodes, which is also how I feel about my morning commute.","You're making this harder than it is. One word. Five letters. It's what the bus has to maintain.","Keanu Reeves with a buzzcut, Sandra Bullock driving, and Dennis Hopper as a bomber with a grudge. The title is what the bus must not lose."
"Spider-Man 3",2007,"A 2007 superhero threequel widely remembered for one sequence: a man with bangs doing a finger-gun strut down a New York sidewalk.","Our hero gets bonded to a black alien goo that turns him emo, which in 2007 meant straightened hair, eyeliner, and jazz piano.","Look, I'm not judging you. I am, but I'm not showing it. The franchise is the most famous wall-crawler in comics, and this is the third installment.","Sandman, Venom, the Green Goblin's son, and the dance scene. The title is a hyphenated hero and a number."
"Spider-Man: Across the Spider-Verse",2023,"A 2023 animated sequel that looks like a comic book had a nervous breakdown in the best possible way, with every frame styled like a different artist got their hands on it.","The Brooklyn kid in the mask discovers there's an entire bureaucracy of multiversal heroes who all do his job, which is the superhero equivalent of finding out your dream job has six hundred applicants.","This one has been on television roughly four hundred times. A canon event, a punk version of our hero with a British accent, and a cliffhanger ending that made everyone want to throw their popcorn.","Miles Morales. Gwen. A thousand variants of the same wall-crawler arguing about destiny. The title rhymes with ""Hider-Verse."""
"Spider-Man: Far From Home",2019,"A 2019 sequel set immediately after the biggest superhero crossover ever, in which our teenage hero just wants to go on a class trip to Europe.","The villain pretends to be an interdimensional hero in a fishbowl helmet, and it works because our protagonist is seventeen and exhausted.","The audience at home figured this out. The wall-crawler. He's on vacation. It's in the title that he's not at home.","Mysterio. Nick Fury. Venice, Prague, London. The title is the hero plus a phrase that means the opposite of ""in Queens."""
"Spotlight",2015,"A 2015 Best Picture winner that made watching reporters request public records feel like a heist film, which is a magic trick nobody else has ever pulled off.","An investigative team in Boston slowly realizes the story isn't a few bad priests — it's an entire institution, and the quiet horror of the film is in the spreadsheets.","You've seen this. A newsroom, a basement full of legal pads, and the dawning understanding that everyone in the city already knew and chose not to look.","The team's name at the Boston Globe is the title. Say it out loud and you've won."
"Stand by Me",1986,"A late-80s coming-of-age film adapted from a Stephen King novella that, shockingly, contains no demons, clowns, or haunted Plymouths.","Four boys walk along train tracks to find a dead body, and somewhere along the way one of them gives a monologue about Goofy that has lived rent-free in viewers' heads for forty years.","Either you haven't seen this, or you have and that's somehow worse. Pie-eating contest. Barf-o-rama. Ring any bells?","River Phoenix, a campfire, and a Ben E. King song that became permanently attached to the film — the title is the song."
"Star Trek: The Motion Picture",1979,"A 1979 attempt to put a beloved 1960s television crew back together for the big screen, with the pacing of a meditation retreat and the runtime of a Thanksgiving dinner.","The plot involves a giant cloud floating toward Earth, and the film treats every door opening on the ship as a sacred event worthy of a thirty-second tracking shot.","At this point I have to ask — do the words ""Captain Kirk"" mean anything to you? Because the franchise is right there in the title.","The Enterprise. Spock. A bald woman. The first feature film of the franchise that boldly went, etc."
"Star Wars: Episode I - The Phantom Menace",1999,"A long-awaited 1999 prequel that arrived on a wave of hype so enormous it briefly broke the internet, and then broke a generation's hearts.","A trade dispute, a senate procedural subplot, and a digital amphibian sidekick whose every line of dialogue feels like a federal offense.","The fact that you're still guessing tells me something about you. There's a podrace, a double-bladed lightsaber, and a small blond child who will eventually wear a black helmet.","Qui-Gon, Queen Amidala, midi-chlorians. You're hovering. Just type the franchise and the chapter number — there's only one."
"Star Wars: Episode III - Revenge of the Sith",2005,"A 2005 prequel finale that finally delivered the volcano-planet lightsaber duel fans had been sketching in their notebooks since 1983.","A chosen one chooses poorly, a chancellor reveals his actual job title, and a wise green puppet quietly accepts that he has been wrong about almost everything.","I want you to think carefully about what you actually know — younglings, lava, a betrayal in a Jedi temple, and the precise moment a black helmet hisses shut.","""You were the chosen one!"" — Obi-Wan shouting on a riverbank of lava is the entire third act, and you know exactly which prequel this is."
"Star Wars: The Force Awakens",2015,"A 2015 sequel that arrived after a decade of fans pretending the prequels never happened, directed by the man who reboots everything he touches.","A scavenger on a desert planet, a defecting stormtrooper, and a soccer-ball droid carrying a map — the plot beats might feel suspiciously familiar to anyone who saw the 1977 original.","Let me be direct with you. A masked villain with daddy issues, a hotshot pilot, and an old smuggler returning to his ship saying he's home.","Rey. Finn. Poe. Kylo Ren. BB-8. The franchise rhymes with ""car bores,"" and the subtitle has something waking up."
"Star Wars: The Last Jedi",2017,"A 2017 sequel that split a fanbase so cleanly down the middle you could have used it as a lightsaber demonstration.","An aging hermit drinks green milk straight from the source while a young woman waits for wisdom that he is actively refusing to provide.","You know this one — porgs, a throne room massacre in red, and a hyperspace ramming maneuver that broke the lore for roughly fifteen million people online.","Luke. Rey. Kylo. A galaxy far, far away — eighth chapter of the saga, the one where the past is supposed to die."
"Stuart Little",1999,"A 1999 family film that took a beloved children's book and added CGI photorealism, because the late nineties believed every animal needed to be rendered with fur physics.","A New York family adopts a talking mouse from an orphanage, which raises adoption-law questions the movie politely declines to answer, while a sarcastic house cat plots murder.","Here's what I know about you right now — you're staring at a clue about a tiny rodent in a tiny red convertible voiced by the guy from Family Ties.","The family name is in the title. The mouse is small. Put those two ideas together and you've cracked it."
"Summer of '42",1971,"A 1971 film drenched in nostalgia for a wartime childhood, with a score so famous it outlived the movie itself.","Three teenage boys spend a vacation obsessed with sex, and one of them develops a real crush on a married woman whose husband is off at war — it does not end well.","This is the part where I stop being polite about it. The title is a season and a year. The year is during World War II.","Nantucket. A young man. A widow. The title is when and what — fill in the blanks."
"Superman Returns",2006,"A 2006 attempt to revive a franchise by pretending the two terrible sequels never happened and picking up directly from the Christopher Reeve era.","The Man of Steel comes back from a five-year sabbatical to discover his ex has a kid, a fiancé, and absolutely no patience for his explanation.","I'm going to need you to search your memory more aggressively. A cape. A spit-curl. Lex Luthor and a real estate scheme involving a new continent made of kryptonite.","He left. He came back. The title is the hero's name plus what he did. You have everything."
"Tangled",2010,"A studio coasting on princesses suddenly remembered it knew how to make computer-animated comedies, and produced this one with hair physics that bankrupted half the render farm.","The romantic lead is a thief whose entire personality is a smirk, and the real scene-stealer is a horse who behaves like an undercover cop.","Consider what you're admitting by not having gotten this yet. The whole movie is in the title. The hair is the title. The plot is the title.","Floating lanterns, a frying pan as a weapon of choice, and a tower with one window and no stairs. Rapunzel, Rapunzel."
"Tarzan",1999,"The last gasp of the hand-drawn Disney Renaissance, scored by Phil Collins doing his best to convince you a jungle epic needs adult contemporary.","The hero surfs through trees on his knuckles like a primate skateboarder, and somehow the British lady in petticoats finds this charming rather than alarming.","Take a breath. Think about what decade you're in. A loincloth, an ape mother, and ""You'll Be in My Heart"" playing over every emotional beat.","He's raised by gorillas, swings on vines, and the title is exactly the name everyone in the audience is already shouting."
"Taxi Driver",1976,"A 1970s New York so grimy you can smell the film stock, from the era when American cinema decided protagonists could just be unwell and we'd watch anyway.","A mohawk, a handgun on a sliding sleeve rig, and a mirror monologue that became the most quoted piece of improvised dialogue in film school history.","Between you and me, this is embarrassing. The protagonist drives a cab. The movie is called what he does for a living. We're not solving a riddle.","""You talkin' to me?"" Yes. I am. And De Niro is waiting for you to figure this out."
"Teenage Mutant Ninja Turtles: Mutant Mayhem",2023,"A 2023 reboot that finally let the title characters look like the sketchbook of a middle schooler who has opinions about skateboards.","Seth Rogen produced this one, which explains why a children's franchise suddenly sounds like four kids actually trapped in puberty in a sewer.","Whatever you're doing isn't working. Four brothers. Named after Renaissance painters. They know karate. They live in a sewer. They love pizza.","Leonardo, Donatello, Michelangelo, Raphael — the answer is a very long title that has not been a secret since 1984."
"Tender Mercies",1983,"A quiet little 1983 film that won Best Actor and Best Original Screenplay while barely raising its voice above a Texas breeze.","A washed-up country singer wakes up at a roadside motel, offers to work off his bill, and accidentally stumbles into a second chance at being a person.","I want to give you the benefit of the doubt here, but — there's a widow, a gas station, a gospel-tinged baptism, and a man trying very hard not to drink.","The lead won his Oscar mumbling country songs he wrote himself. Mac Sledge is the character. Two words, both gentle."
"Tenet",2020,"A filmmaker with a clock fetish made a 2020 movie so loud and so backwards that audiences left arguing about both the plot and the sound mix.","A spy thriller where bullets travel toward the gun, fistfights happen in two directions at once, and the exposition is delivered while someone runs a turnstile.","We've been at this long enough. The title is a palindrome. The movie is a palindrome. The hint is not going to be a palindrome.","Christopher Nolan, inverted entropy, and a protagonist named ""the Protagonist."" Five letters, reads the same both ways."
"Terms of Endearment",1983,"The Best Picture winner of 1983, back when the Academy still handed the trophy to movies about mothers, daughters, and crying in hospital corridors.","A mother and daughter spend three decades bickering across a Texas lawn while a retired astronaut next door drinks bourbon and lowers the property values.","You're making this harder than it is. A mammogram scene, a tantrum at a nurses' station, and the most devastating ""give my daughter the shot"" in cinema.","Aurora. Emma. Garrett Breedlove. The title is two words and the second one rhymes with ""dearment"" because it IS dearment."
"Tess",1979,"A 1979 European prestige drama based on a Thomas Hardy novel, directed by a filmmaker who notably could not return to the country he shot it in.","A peasant girl is shipped off to claim kinship with wealthy relatives, and everything that follows is the nineteenth century explaining why this was a terrible idea.","Look, I'm not judging you. I am, but I'm not showing it. The title is the protagonist's name. Four letters. It's right there on the book cover too.","Hardy wrote her, Polanski filmed her, and the title is just her first name. Four letters. Starts with T."
"The 40 Year Old Virgin",2005,"A 2005 comedy that launched an entire decade of improvised-feeling man-children and a chest waxing scene that was, in fact, real.","The protagonist collects action figures still in the box, rides a bicycle to work at an electronics store, and his coworkers treat his romantic life as a group project.","This one has been on television roughly four hundred times. The title spells out the premise. It is literally a number, a noun, and a status.","""Kelly Clarkson!"" Steve Carell, real chest hair, and a title that is also a confession."
"The Accidental Tourist",1988,"A late-1980s prestige drama about a grieving man with a system for everything, including how to pack a suitcase for a country he doesn't want to visit.","He writes guidebooks for businessmen who hate travel, his marriage has quietly collapsed, and a dog trainer with too much personality crashes into his life.","The audience at home figured this out. The title is two words. The first means ""by mistake."" The second means ""someone on vacation.""","Geena Davis won an Oscar for the dog trainer. The title is what the protagonist is — unwillingly, professionally, and emotionally."
"The Addams Family",1991,"A 1991 film built on the premise that a goth family with a torture dungeon are, on balance, the healthiest people in the neighborhood.","A man who may or may not be the long-lost bald uncle is welcomed back with a celebration involving a warmed-up electric chair, because that's how this household says ""I love you.""","You've seen this. Snapping fingers, a disembodied hand named Thing, and a little girl whose hobbies include attempted fratricide.","Morticia. Gomez. Pugsley. Wednesday. The title is the surname, and you should be embarrassed."
"The Amazing Spider-Man",2012,"A franchise reboot that arrived roughly ten minutes after the previous franchise ended, because Sony's contract with the rights was about to expire and nothing motivates art like a legal deadline.","The hero is recast as a skateboarding heartthrob with great hair and a webshooter he built in his bedroom, which is somehow less believable than the radioactive spider.","Either you haven't seen this, or you have and that's somehow worse — a high schooler, a lizard man, and a girlfriend whose father is the police chief and is not thrilled about any of it.","Peter Parker. Gwen Stacy. With great power comes — you know the rest."
"The Amazing Spider-Man 2",2014,"A 2014 sequel so overstuffed with villains and franchise-building that the studio quietly scrapped the whole universe afterward and handed the character back.","An electric blue man, a green goblin, and a death scene the comics fans had been waiting decades to see ruined on screen.","At this point I have to ask — does a webslinger in spandex failing to catch a falling blonde ring any bells?","The hero is the same as the last one. Add a ""2."" There's your answer."
"The Amityville Horror",1979,"A 1979 haunted house movie based on a ""true story"" that has since been admitted to be largely invented over a bottle of wine.","A family buys a suspiciously affordable Dutch Colonial on Long Island, and the house immediately starts bleeding from the walls, which is a known feature in the disclosure paperwork.","The fact that you're still guessing tells me something about you — the house has two attic windows that look like glowing red eyes. That's the whole poster.","""Get out."" A priest. Flies. The town's name is in the title and it rhymes with ""calamity."""
"The Artist",2011,"A 2011 film that won Best Picture by being silent and black-and-white, which is the cinematic equivalent of showing up to a black-tie event in a top hat and winning anyway.","A French actor playing a fading silent star, a charming ingenue on the rise, and a Jack Russell terrier who out-acts most of Hollywood.","I want you to think carefully about what you actually know — the film is about the transition from silent pictures to talkies, and the title is what the protagonist is.","A tap dance finale. A dog saving a man from a burning house. The title is a one-word noun for someone who makes art."
"The Aviator",2004,"A 2004 biopic from a director who had been trying to get his leading man an Oscar for three movies and would have to wait several more.","The subject is a billionaire who designed planes, dated movie stars, and eventually locked himself in a screening room growing his fingernails and storing urine in jars.","Let me be direct with you — Howard Hughes, the Spruce Goose, and a recurring whispered phrase about ""the way of the future.""","Leonardo DiCaprio as a man who built the world's largest plane and lost his mind. The title is his hobby."
"The Bad Guys",2022,"A 2022 animated heist comedy that wants you to know it has watched Ocean's Eleven approximately four hundred times and is not embarrassed about it.","A wolf, a snake, a piranha, a shark, and a tarantula walk into a charity gala. That's not a setup, that's the first act.","You know this one — a crew of criminal animals tries to go straight, or at least pretend to, while a guinea pig philanthropist may or may not be exactly what he seems.","Mr. Wolf is the ringleader. The title is two words. The first word rhymes with ""sad."""
"The Bad News Bears",1976,"A 1970s sports comedy that took one look at the wholesome youth-league movie and decided what it really needed was chain-smoking, beer-drinking, and a coach who is barely conscious.","The coach cleans pools for a living, drinks during practice, and treats his roster of foul-mouthed twelve-year-olds with the warm indifference of a man waiting for last call.","Here's what I know about you right now — you are picturing a scrappy little league team in yellow Chico's Bail Bonds jerseys, and you still can't name the movie.","A girl pitcher with a wicked curveball, a juvenile delinquent on a motorcycle, and a coach drinking Budweiser in the dugout. The team is named after an animal that hibernates."
"The Bad News Bears in Breaking Training",1977,"A 1977 sequel that took a beloved scrappy comedy and asked the question nobody asked: what if we did it again, in Texas?","The misfit Little League team road-trips to the Astrodome for an exhibition game, because nothing says ""necessary sequel"" like a stadium tour.","This is the part where I stop being polite about it — it's literally the previous movie's title plus a subtitle about practice.","Same team. Same chaos. One year older, one year wilder. The subtitle is two words: ________ Training."
"The Banshees of Inisherin",2022,"A 2022 tragicomedy set on a fictional Irish island in 1923, while a civil war crackles across the water and two men on a rock decide to have their own.","One friend tells the other he simply doesn't like him anymore, and when pressed, escalates the disagreement using a pair of shears and his own fingers. Reasonable.","I'm going to need you to search your memory more aggressively — a pint, a small dark pub, a miniature donkey, and a friendship ending for no reason anyone can explain.","Two Irishmen, a fiddle, and a feud that gets very literal. The title starts with a wailing spirit and ends with a place that doesn't exist."
