title,year,hint_1,hint_2,hint_3,hint_4
Best of the Best,1989,"A late-80s martial arts film that took itself approximately nine times more seriously than the genre required.","A team of American Tae Kwon Do fighters trains under a coach who delivers every line like he's narrating the Civil War, because he kind of was.","You're making this harder than it is. The title is a superlative repeated twice. The plot is a tournament. The coach is voiced like God.","Korea vs. USA. A headband. The title literally just says the team is the greatest, twice."
Blades of Glory,2007,"A mid-2000s comedy that correctly identified figure skating as the most inherently absurd sport available for parody.","Two disgraced male skaters exploit a rulebook loophole to compete as a pairs team, and the lifts are exactly as uncomfortable as you're imagining.","Look, I'm not judging you. I am, but I'm not showing it. Sequins, a peacock routine, and a sex addict on ice skates.","The title rhymes ice with something patriotic. The tagline says ""Kick Some Ice."" Glide to the answer."
Bloodsport,1988,"A late-80s action film ""based on a true story"" the way professional wrestling is based on athletics.","A Belgian man with the splits of a gymnast travels to Hong Kong to enter an illegal tournament and punch his way through every ethnic stereotype available in 1988.","This one has been on television roughly four hundred times. The tournament is called the Kumite. The hero does the splits on two chairs. You have seen this.","Van Damme. A dying master. A giant sweaty man named Ray Jackson. The title is two nouns smashed together and it's exactly what you think."
Blue Chips,1994,"A mid-90s drama about college basketball corruption, made back when pretending college basketball wasn't corrupt was still a national pastime.","A coach sells his soul to boosters to land recruits, one of whom is played by a 7-foot-1 rookie who had just been drafted first overall in real life.","The audience at home figured this out. A college coach, envelopes of cash, a tractor as a signing bonus, and Shaq dunking on people who did not consent.","The title is what they call elite recruits. Two words. First word is a color. Second word is a gambling token."
Blue Crush,2002,"An early-2000s film that tried to do for women's surfing what Top Gun did for naval aviation, and largely succeeded at selling boardshorts.","The protagonist is training for the most dangerous wave in the world while also dating an NFL quarterback, which is a workload.","You've seen this. North Shore, Hawaii, sunrise paddle-outs, a tough-girl roommate played by the woman who would later steal every Fast & Furious movie she was in.","The Banzai Pipeline, a wipeout that gives her PTSD, and a title that's two words — one is a color, one is what the wave does."
BMX Bandits,1983,"A 1983 Australian kids' adventure that is now mostly remembered because a teenager in it would go on to win an Oscar and marry Tom Cruise.","The plot involves walkie-talkies, a bank heist, and approximately nine hundred shots of children doing jumps off plywood ramps in suburban Sydney.","Either you haven't seen this, or you have and that's somehow worse. A redheaded teenager in a jumpsuit out-pedaling grown criminals through a water park.","The bikes are in the title. The kids on the bikes are also in the title. A young Nicole Kidman is somewhere in the middle of all of it."
Borg vs McEnroe,2017,"A 2017 sports drama about the 1980 Wimbledon final, a match so tense that it apparently required a Swedish, a Danish, and an American co-production to recreate it.","One player is an ice-cold Scandinavian who taped his racket strings himself; the other is a New Yorker who treated line judges like a personal grievance.","At this point I have to ask — do you remember a tennis player famous for screaming ""you cannot be serious"" at officials? The movie is named after him and the other guy.","Headbands, short shorts, and Shia LaBeouf throwing a racket. The title is the matchup, with a ""vs"" in the middle."
Bring It On,2000,"By 2007, this cheerleading franchise was on its fourth installment and had fully committed to the bit, with each sequel finding a new excuse to put rival squads in the same zip code.","The setting is a national cheer camp, the romance is a West Side Story riff between a East Coast girl and a West Coast boy, and the stakes are, as always, a trophy.","The fact that you're still guessing tells me something about you, specifically that ABC Family was not part of your Saturday afternoon rotation. Rival squads, a forbidden romance, and a final showdown choreographed within an inch of its life.","Take the cheerleading franchise title, add a colon, and then add the phrase a coach screams when the team needs to actually try."
Bring It On Again,2004,"A 2004 direct-to-video sequel that exists because the first one made too much money to leave alone, and not for any other reason.","The premise: rejected college cheerleaders form a rival squad on the same campus, which is somehow stretched to ninety minutes.","I want you to think carefully about what you actually know. None of the original cast came back. The title just added one word to signal that fact.","It's the previous answer plus a word meaning ""one more time."""
Bring It On: In It to Win It,2007,"A 2007 entry in a cheerleading franchise that by this point was operating on pure momentum and ESPN2 broadcast rights.","This one is West Side Story with herkies — rival squads, forbidden romance, choreographed snapping, the works.","Let me be direct with you. It's the fourth movie in a series about cheerleading competitions, and the subtitle is a rhyming phrase about commitment to winning.","Same franchise name as the last two. Add a colon, then a phrase that rhymes with itself."
Bull Durham,1988,"A late-80s romance dressed up as a baseball movie, written by a man who had actually played in the minor leagues and had the bitterness to prove it.","A veteran catcher is sent down to babysit a hotshot pitcher with a million-dollar arm and a five-cent head, while a literature professor in the stands picks one of them per season.","You know this one. Minor league baseball in North Carolina, a speech about long, slow, deep, soft, wet kisses, and a pitcher wearing a garter belt to break a slump.","The town is in the title. The team mascot is in the title. Costner, Sarandon, Robbins — one of those names just gave it away."
Celtic Pride,1996,"A mid-nineties sports comedy written by the guy who would later create a yellow cartoon family, which explains absolutely nothing about why this movie exists.","Two Boston basketball superfans kidnap the opposing team's star player on the eve of the championship, a plan with all the strategic depth of a bar napkin.","Here's what I know about you right now — you have not thought about the Boston Celtics' 1996 season in approximately three decades, and that's the era this is operating in.","A green jersey, a hotel room, a duct-taped athlete, and a title that pairs an Irish adjective with a deadly sin."
Challengers,2024,"A 2024 sports drama from an Italian filmmaker who shoots tennis like it's foreplay and foreplay like it's tennis.","A love triangle resolved on a clay court, scored to throbbing techno, with a churro scene that did more cultural damage than the actual matches.","This is the part where I stop being polite about it — three players, two men and one woman, one very sweaty hotel room, and a final point shot from inside a tennis ball.","Art. Patrick. Tashi. A title that's just what you call the lower-tier tournament where the whole thing comes to a head."
Cinderella Man,2005,"A 2005 Depression-era boxing biopic from the director who, two years earlier, made everyone cry about a horse.","A washed-up fighter takes a one-off bout to feed his family, wins it, and accidentally becomes the most beloved underdog in Madison Square Garden history.","I'm going to need you to search your memory more aggressively — 1930s New Jersey, a heavyweight title fight against a man widely feared to be a killer in the ring, and a nickname borrowed from a fairy tale.","Jim Braddock. The title is the storybook nickname the press gave him. Two words. You've got this."
Coach Carter,2005,"A 2005 sports drama based on a true story where the inspirational figure's big move was locking the gym doors because his undefeated players were failing algebra.","A Richmond, California high school basketball team learns that winning games matters less than winning at trigonometry, which is a lesson nobody on that team asked for.","Consider what you're admitting by not having gotten this yet — the whole movie hinges on a man with a clipboard standing up to an entire town because teenagers wouldn't do their homework.","Samuel L. Jackson in a polo shirt, a padlocked gymnasium, and a last name that rhymes with ""barter."""
Cobb,1994,"A 1994 biopic about a man whose Hall of Fame plaque should arguably come with a warning label.","A dying baseball legend hires a sportswriter to launder his legacy, and the sportswriter slowly realizes he's been hired by a monster with a great batting average.","Take a breath. Think about what decade you're in. The subject is one of the most famous and most hated names in baseball history, and the title is just his last name.","Tommy Lee Jones, drunk, in a fur coat, screaming at a piano. Ty ______."
Concussion,2015,"A 2015 drama in which a major movie star tries on a Nigerian accent and a powerful American institution tries on a lawsuit.","A forensic pathologist cuts open a dead football player's brain, finds something terrible, and the NFL responds with all the grace of a corner blitz.","Between you and me, this is embarrassing. The title is what happens when your head hits something hard. Like, say, this hint.","Will Smith, a microscope, and Roger Goodell's worst week. One word. Sound it out."
Cool Runnings,1993,"A Disney film loosely based on a true story, where ""loosely"" is doing the work of an entire bobsled team.","Four men from an island where it does not snow decide their best career move is to strap into a metal coffin and rocket down a frozen chute in Calgary.","Whatever you're doing isn't working. The title is also a Jamaican greeting that the movie taught a generation of suburban kids to misuse.","""Feel the rhythm, feel the rhyme, get on up, it's bobsled time."" You're welcome."
Creed,2015,"A 2015 reboot that pulled off the rare trick of honoring a franchise from the seventies without embarrassing it, which is more than most legacy sequels manage.","The young fighter at the center is the illegitimate son of a champion who died before he was born, which is a hell of a lot to carry into a gym.","I want to give you the benefit of the doubt here, but — an aging Philadelphia boxer in a porkpie hat is training the next generation, and you should be able to take it from there.","Rocky. Adonis. Philadelphia. The kid is fighting under his father's name — which happens to be the title."
Creed II,2018,"A sequel that decided the best way forward was to dig up a Soviet-era grudge from 1985.","The son of the man Ivan Drago killed in the ring fights the son of Ivan Drago, which is either great storytelling or a family therapist's nightmare.","We've been at this long enough. Same fighter, same trainer, same franchise as the last hint, plus a Roman numeral.","Rocky's back. Drago's back. Drago's son is enormous. Add a II."
Creed III,2023,"A 2023 entry where the old trainer finally hangs it up and the star steps behind the camera himself.","A childhood friend gets out of prison and wants his shot, and the protagonist discovers that guilt is a heavier opponent than any heavyweight.","You're making this harder than it is. Third film. Same boxer. Add a number.","No Rocky this time. Jonathan Majors in the other corner. You can do the math on the title."
D2: The Mighty Ducks,1994,"A sequel where a youth hockey team is somehow promoted to representing the United States in international competition, which says a lot about the state of USA Hockey in the early 90s.","The coach gets a sponsorship deal, buys a leather jacket, forgets who he is, and has to be reminded by a group of twelve-year-olds that he was better when he was poor.","Look, I'm not judging you. I am, but I'm not showing it. The team's name rhymes with ""trucks."" This is the second one. There's a 2 in the title.","The flying V. Goldberg in goal. Iceland are the villains. Quack quack quack."
D3: The Mighty Ducks,1996,"A 1996 threequel that sends the same youth hockey team to an elite prep school, because apparently the franchise had run out of international tournaments.","The kids get scholarships, get hazed by the varsity team, and learn the valuable lesson that rich people are bad — a message brought to you by The Walt Disney Company.","This one has been on television roughly four hundred times. Hockey. Kids. Third film. The team rhymes with ""trucks.""","Same team. Same quack. Add a 3."
Days of Thunder,1990,"A film where a producer-director duo looked at their fighter pilot blockbuster and asked, ""What if the planes were cars and the sky was Daytona?""","A cocky young driver, a grizzled crew chief, a beautiful neurosurgeon, and approximately forty minutes of cars hitting walls in slow motion set to a power ballad.","The audience at home figured this out — a hotshot in a jumpsuit, a rival he keeps crashing into, and a doctor he falls in love with in a hospital room. This is the same movie three times.","Cole Trickle. That's the protagonist's name. Cole. Trickle. The title is two words: the first is a unit of time, the second is the sound the cars make."
DodgeBall: A True Underdog Story,2004,"A comedy built on the premise that the dumbest possible sport, played by the dumbest possible people, could carry ninety minutes. It was right.","A gym full of misfits trains for a tournament under the guidance of a wheelchair-bound coach whose primary teaching method involves throwing wrenches at their faces.","You've seen this. Pirates. A cobra. A man who has surgically modified himself into a walking shopping mall and refers to himself in the third person.","""If you can dodge a wrench, you can dodge a ball."" Average Joe's versus Globo Gym. Now hit me."
Draft Day,2014,"A 2014 film that asked the question nobody was asking: what if we made a sports movie where nobody plays the sport?","The entire drama unfolds over phone calls between men in offices, which is either a bold formal experiment or just Tuesday at any corporate job.","Either you haven't seen this, or you have and that's somehow worse. A Cleveland Browns general manager spends a day on the phone trying not to ruin his career before sundown.","It's about the NFL ___. That's the second word. You have it."
Driven,2001,"A 2001 racing movie that arrived after the star had stopped being a draw and before the genre had figured out it needed Vin Diesel.","The veteran driver is brought in to mentor the rookie, which in this film mostly involves a CGI car chase through downtown Chicago at street level, because subtlety was not on the call sheet.","At this point I have to ask — are you guessing, or are you just typing words? An aging Sly, open-wheel racing, and a screenplay he wrote himself.","The title is a single word. It's what the cars are. It's what the protagonist is. It's what you are not, right now."
Eddie,1996,"A mid-90s comedy that asked the question nobody asked: what if the head coach of a struggling NBA franchise was a limo driver from Queens who screamed at the TV for a living?","The premise hinges on a billionaire owner thinking a publicity stunt would fix a basketball team, which is roughly the actual business model of half the league.","The fact that you're still guessing tells me something about you. The lead is an Oscar winner who also hosted the Oscars, and she's wearing a tracksuit on an NBA sideline.","Whoopi Goldberg, courtside at Madison Square Garden, the title is just her character's name."
Eddie the Eagle,2016,"A 2016 crowd-pleaser about the kind of athlete the British excel at producing: cheerfully terrible, deeply earnest, and beloved for both.","The coach is a fictional composite, a chain-smoking American ex-jumper who exists mostly so Hugh Jackman can squint at snow and look conflicted.","I want you to think carefully about what you actually know. Ski jumping. Calgary. 1988. A man in goggles who finished last and won everything that mattered.","His nickname was a bird. The title is his name plus that bird. I cannot help you more than this."
Eight Men Out,1988,"A late-80s baseball drama about the moment America discovered its national pastime could be bought for less than you'd think.","The 1919 White Sox, a cheapskate owner, a few gamblers in hotel rooms, and a quiet handshake that ended careers and broke a kid's heart on a courthouse step.","Let me be direct with you. ""Say it ain't so, Joe."" Shoeless Joe Jackson. The Black Sox Scandal. Any of this landing?","Count the players who got banned for life from baseball. That number, followed by the gender of those players, followed by the direction they were shown — that's your title."
Escape to Victory,1981,"A 1981 war film where the climactic act of heroism is a soccer match, because nothing rattles the Third Reich like a well-placed bicycle kick.","A group of Allied POWs are offered the chance to play the German national team, and somehow the plan to flee at halftime becomes secondary to winning the game.","You know this one. A prison camp, a soccer pitch in occupied Paris, and a goalkeeper who looks suspiciously like an Italian Stallion who has never played the sport in his life.","Pelé delivers the overhead kick, Michael Caine captains the squad, and the title is two words — the second one is what they're playing for."
Everybody's All-American,1988,"A late-eighties Southern epic about what happens after the stadium empties, the cheering stops, and the homecoming king has to figure out who he is at forty.","A college football hero marries the homecoming queen, fails at the pros, and spends the next two decades discovering that peaking at twenty-one is a slow-motion tragedy.","Here's what I know about you right now — you're not going to get this. The title is a phrase you'd use to describe the kind of guy this movie is about. Three words. A possessive and a hyphen.","Dennis Quaid in shoulder pads, aging badly on purpose. The title is what everyone called him before everything went wrong."
Fever Pitch,2005,"A romantic comedy that retrofitted a Nick Hornby novel about English football into a story about the Boston Red Sox, which only worked because the Red Sox did the unthinkable mid-production.","The script had to be rewritten in real time when the team actually won the World Series, which is the most disruptive thing a sports franchise has ever done to a romcom.","This is the part where I stop being polite about it. A schoolteacher's relationship is held hostage by his season tickets at Fenway Park.","Two words. The first is what you get from being sick. The second is what a baseball player throws. Drew Barrymore is somewhere in the bleachers."
For Love of the Game,1999,"A late-nineties baseball romance from a filmmaker better known for ushers screaming at the dead, which is a tonal swing of impressive magnitude.","A forty-year-old pitcher throws what may be a perfect ninth inning while flashing back through every romantic decision he's ever botched, which is one way to handle a no-hitter.","I'm going to need you to search your memory more aggressively. Tigers uniform, Yankee Stadium, a mantra of ""clear the mechanism,"" and a woman at the airport gate.","Kevin Costner on the mound, again, because by 1999 this was the third time. The title starts with ""For Love of the…"""
Foxcatcher,2014,"A 2014 film where a beloved comedy actor disappeared behind a prosthetic nose and a thousand-yard stare, and the Academy pretended to be surprised.","A wrestling drama where the actual wrestling is the least uncomfortable thing happening on the estate. The horse barn is doing a lot of metaphorical work.","Consider what you're admitting by not having gotten this yet. A reclusive heir, a Pennsylvania estate, and a true-crime ending that the marketing department clearly struggled with.","Du Pont money, an Olympic wrestler, and a name that sounds like a hunting club because it is one."
Friday Night Lights,2004,"A film about a Texas town where the high school football coach is held to a higher standard than any elected official, and rightly so.","Based on a nonfiction book that the citizens of Odessa, Texas were reportedly thrilled about, in the way you're thrilled when someone reads your diary aloud.","Take a breath. Think about what decade you're in. The 80s. Permian High. A tailback named Boobie whose knee ends his life as he knew it.,It later became a television show where everyone said clear eyes","full hearts until you wanted to scream it back at them."
Gleaming the Cube,1989,"A late-80s artifact in which a major teen heartthrob attempts to convince the world that skateboarding is, in fact, detective work.","The plot involves a Vietnamese arms-smuggling conspiracy uncovered by a kid doing kickflips in empty swimming pools, which is exactly the kind of pitch that only worked once.","Between you and me, this is embarrassing. The title is a phrase nobody on a skateboard has ever said, before or since.","Tony Hawk has a cameo as a pizza delivery guy. The verb in the title means nothing. The noun in the title means nothing. Together, somehow, even less."
Glory Road,2006,"A 2006 sports drama produced by the man who made Top Gun, which means somewhere in here there's a slow-motion shot set to an inspirational needle drop.","A college basketball coach in 1966 looks at the segregated talent pool around him and decides the smarter play is to recruit the players everyone else refused to.","Whatever you're doing isn't working — a Texas school, a national championship game against Kentucky, and a starting five that rewrote the sport in one night.","The road to victory was paved with something. That something is the first word. The second word is what you drive on."
Goal!,2005,"A mid-2000s soccer film made with the full cooperation of FIFA, which tells you everything about its edge.","A kid from East L.A. ends up trying out for Newcastle United, a club whose actual fans would tell you is a punishment, not a dream.","I want to give you the benefit of the doubt here, but — the title is the single word a commentator screams for thirty seconds straight.","It has an exclamation point in the title. Premier League. The thing you score. Come on."
Goon,2012,"A hockey comedy with more dental trauma per minute than any film since the invention of the slapshot.","A bouncer who can't skate is recruited to punch people on ice, which in minor league hockey counts as a promotion.","We've been at this long enough. The title is what they call the guy on the team whose job is exclusively fists.","Doug ""The Thug"" Glatt. Liev Schreiber as the aging enforcer. The title is one syllable and it rhymes with moon."
Gran Turismo,2023,"A 2023 film that exists primarily as a two-hour advertisement for a video game, a car company, and an energy drink, and is somehow still watchable.","The premise is that PlayStation skill translates directly to not dying at 200 miles per hour, a theory the insurance industry has thoughts about.","You're making this harder than it is. The title is the name of the racing simulator the kid plays in his bedroom before being handed an actual Nissan.","Two words. Italian-sounding. The franchise has sold roughly 90 million copies and now the title is also a movie. Floor it."
Gridiron Gang,2006,"A 2006 film in which a former wrestler with a very specific eyebrow tries to convince juvenile offenders that football is the answer to systemic failure.","Based on a documentary that was, by all accounts, more affecting than the dramatization built around a star who can bench-press a linebacker.","Look, I'm not judging you. I am, but I'm not showing it. The title is two words, both of which describe the movie literally.","A juvenile detention center, shoulder pads, and The Rock giving the kind of speech only The Rock can give. The field has a name. The group has a name. Smash them together."
Grind,2003,"An early-2000s teen comedy that mistook a Warped Tour lineup for a screenplay.","Four skater kids follow a pro across the country in a van, which is either a coming-of-age story or a missing persons report, depending on your parents.","This one has been on television roughly four hundred times. The title is one word, and it's what you do on a rail.","Five letters. A skateboarding verb. Also what your job feels like. You've got it."
Gymkata,1985,"An 80's film built on the airtight premise that pommel horses appear naturally in remote villages, ready for use in combat.","A real Olympic gymnast was cast as a secret agent because the producers needed someone who could do a flare on a stranger's face.","The audience at home figured this out. The title is a portmanteau of two sports, one of which is gymnastics and the other of which is in the tagline.","Gymnastics plus karate equals the title. I've now said the title without saying the title. Type it in."
Happy Gilmore,1996,"A 1996 comedy that decided the funniest thing about golf is how much it deserves to be punched in the face.","The protagonist's swing technique involves a running start and the kind of rage usually reserved for parallel parking. His coach has one hand and infinite patience.","You've seen this. A hockey player on a golf course, a rivalry with a man who points finger guns, and a grandmother in a retirement home that is essentially a prison.","""The price is wrong, Bob."" Bob Barker takes a beating, Shooter McGavin eats pieces of something for breakfast, and the title is two words — one feeling, one last name."
Happy Gilmore 2,2025,"A sequel arriving twenty-nine years after the original, because Netflix asked nicely and the original star said sure, why not, the kids are in it now.","The premise involves ballet lessons, which is a sentence that should not exist in this universe but here we are.","Either you haven't seen this, or you have and that's somehow worse. The title is the title from twenty-nine years ago, with a number on the end.","It's the first one, plus a 2. That's the whole hint. That's the whole movie."
Hardball,2001,"A 2001 drama that asks the eternal question — can a degenerate gambler find redemption by yelling at nine-year-olds for an hour and a half?","The coach is in this for the money. The kids are in it because they live in one of the most notorious housing projects in Chicago. Somehow this becomes a movie about second chances.","At this point I have to ask — does the phrase ""Big Poppa"" playing during a Little League at-bat ring any bells?","A drunk gets paid to coach inner-city kids in baseball. The lead actor would later go on to dodge bullets in a trench coat."
He Got Game,1998,"A 1998 film from a director who reliably puts basketball into movies that are not technically about basketball, except this one actually is.","A father gets temporarily released from prison with one job: convince his estranged son, the number one high school recruit in the country, to sign with the governor's alma mater. The soundtrack is entirely Aaron Copland.","The fact that you're still guessing tells me something about you. The lead actor is an actual NBA Hall of Famer making his acting debut, and the other lead has two Oscars.","Jesus Shuttlesworth. The title is a phrase a sportscaster yells when someone crosses someone else over."
Herbie Fully Loaded,2005,"A 2005 attempt to revive a Disney franchise about a sentient Volkswagen, because apparently the original four films left audiences clamoring for more.","A racing-loving college grad inherits a junkyard Beetle that drives itself, falls in love, gets jealous, and somehow ends up competing in NASCAR. The car, not the grad.","I want you to think carefully about what you actually know. A peppy little Bug with the number 53 painted on the hood and a personality bigger than its driver.","This was Number 53's fifth outing, and the star's last family-friendly film before her tabloid years really kicked in."
Hoosiers,1986,"A sports drama that is legally required to be shown in the state of Indiana at least once per basketball season.","A small-town high school team, a coach with a temper and a past, and an assistant coach who is the town drunk and the father of one of the players. The score by Jerry Goldsmith does most of the emotional work.","Let me be direct with you. The title is the nickname for people from a specific Midwestern state, and you've heard it shouted at a college basketball game.","Gene Hackman measuring a hoop with a tape measure to prove it's the same height as the one back home. Dennis Hopper getting one chance. The state is Indiana. The word is the demonym."
Hot to Trot,1988,"A comedy that took the premise of Mister Ed and asked, ""What if the horse gave stock tips?"" Hollywood greenlit this. Out loud. On purpose.","A dim-witted heir inherits a talking horse with a knack for the market. The horse is voiced by a beloved Canadian comedian who deserved better material.","You know this one. A stuttering comedian, a wisecracking horse, and a plot that hinges on insider trading from a quadruped.","The title is a horse pun. The movie is a horse pun. Everything is a horse pun. Saddle up."
Hustle,2022,"A sports drama produced by and starring a comedian who decided he wanted to make a serious movie about basketball scouting, and Netflix said sure.","A weary NBA scout discovers a Spanish construction worker who can play, and stakes his entire career on dragging him to the league. Real NBA players show up as themselves, which is either charming or distracting depending on your tolerance.","Here's what I know about you right now — you're stalling. The lead is a guy famous for screaming in comedies who, in this one, just quietly loves the game.","One word title. It's what the scout does, what the prospect does, and what every Philly 76ers fan wishes the front office would do."
Ice Princess,2005,"A 2005 Disney film made during the brief window when a teenage girl on skates was considered an acceptable plot for an entire movie.","A physics nerd uses aerodynamics equations to optimize her triple lutz, which is the most Disney sentence ever written.","This is the part where I stop being polite about it. The title is two words. The second word is royalty. The first word is frozen water.","Michelle Trachtenberg, figure skating, a Zamboni-driving love interest. The answer is right there on the rink."
