title,year,genre,cast_hint,director,plot_hint,tagline_text
A Quiet Place Part II,2021,"Science Fiction, Thriller, Horror","Emily Blunt, John Krasinski, Millicent Simmonds",,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",Silence is not enough.
A Quiet Place: Day One,2024,"Horror, Science Fiction, Thriller","Lupita Nyong'o, Joseph Quinn, Alex Wolff",,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",Hear how it all began.
A Room with a View,1986,"Drama, Romance","Helena Bonham Carter, Julian Sands, Maggie Smith",,"When Lucy Honeychurch and chaperon Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy's life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?",An Edwardian Romance
A Serious Man,2009,"Comedy, Drama","Michael Stuhlbarg, Richard Kind, Fred Melamed",,"It is 1967, and Larry Gopnik, a physics professor at a quiet Midwestern university, has just been informed by his wife Judith that she is leaving him. She has fallen in love with one of his more pompous acquaintances Sy Ableman.",Accept mystery.
A Soldier's Story,1984,"Mystery, Crime, Drama","Howard Rollins, Adolph Caesar, Art Evans",,"In a rural town in Louisiana, a black Master Sergeant is found shot to death just outside the local Army Base. Military lawyer, Captain Davenport—also a black man—is sent from Washington to conduct an investigation. Facing an uncooperative chain of command and fearful black troops, Davenport must battle with deceit and prejudice in order to find out exactly who really did kill the Master Sergeant.","Alone, far from home, and far from justice, he has three days to learn the truth about a murder... and the truth is a story you won't forget."
Ace Ventura: Pet Detective,1994,"Comedy, Mystery, Crime","Jim Carrey, Courteney Cox, Sean Young",,"He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!","He's the best there is! (Actually, he's the only one there is.)"
Ace Ventura: When Nature Calls,1995,"Crime, Comedy, Adventure","Jim Carrey, Ian McNeice, Simon Callow",,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.
Addams Family Values,1993,"Comedy, Family, Fantasy","Anjelica Huston, Raúl Juliá, Christopher Lloyd",,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",The family just got a little stranger.
Air Force One,1997,"Action, Thriller","Harrison Ford, Gary Oldman, Glenn Close",,"When Russian neo-nationalists hijack Air Force One, the world's most secure and extraordinary aircraft, the President is faced with a nearly impossible decision to give in to terrorist demands or sacrifice not only the country's dignity, but the lives of his wife and daughter.",The fate of the nation rests on the courage of one man.
Airplane!,1980,Comedy,"Robert Hays, Julie Hagerty, Leslie Nielsen",,An ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning.,"What's slower than a speeding bullet, and able to hit tall buildings at a single bound?"
Airport '77,1977,"Action, Drama, Thriller","Jack Lemmon, Lee Grant, Brenda Vaccaro",,"Flight 23 has crashed in the Bermuda Triangle after a hijacking gone wrong. Now the surviving passengers must brave panic, slow leaks, oxygen depletion, and more while attempting a daring plan, all while 200 feet underwater.","Flight 23 has crashed in the Bermuda Triangle... passengers still alive, trapped underwater..."
Aladdin,1992,"Animation, Family, Adventure","Scott Weinger, Robin Williams, Linda Larkin",,"In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.","Imagine if you had three wishes, three hopes, three dreams and they all could come true."
Alice in Wonderland,2010,"Family, Fantasy, Adventure","Mia Wasikowska, Johnny Depp, Anne Hathaway",,"Alice, now 19 years old, returns to the whimsical world she first entered as a child and embarks on a journey to discover her true destiny.",You're invited to a very important date.
Aliens,1986,"Action, Thriller, Science Fiction","Sigourney Weaver, Carrie Henn, Michael Biehn",,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.",This time it's war.
All That Jazz,1979,Drama,"Roy Scheider, Jessica Lange, Ann Reinking",,"Joe Gideon is at the top of the heap, one of the most successful directors and choreographers in musical theater. But he can feel his world slowly collapsing around him - his obsession with work has almost destroyed his personal life, and only his bottles of pills keep him going.",Prepare yourself for all that acclaim...
All the President's Men,1976,"Drama, Mystery, Thriller","Robert Redford, Dustin Hoffman, Jack Warden",,"During the 1972 elections, two reporters' investigation sheds light on the controversial Watergate scandal that compels President Nixon to resign from his post.",The most devastating detective story of this century.
Almost Famous,2000,"Drama, Music","Billy Crudup, Frances McDormand, Kate Hudson",,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.",Experience it. Enjoy it. Just don't fall for it.
Amadeus,1984,"History, Music, Drama","F. Murray Abraham, Tom Hulce, Elizabeth Berridge",,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.,The Man... The Music... The Madness... The Murder... The Motion Picture.
American Fiction,2023,"Comedy, Drama","Jeffrey Wright, John Ortiz, Erika Alexander",,"A novelist fed up with the establishment profiting from ""Black"" entertainment uses a pen name to write a book that propels him into the heart of hypocrisy and the madness he claims to disdain.","Once you go full black, you ain't never going back!"
American Graffiti,1973,"Comedy, Drama","Richard Dreyfuss, Ron Howard, Paul Le Mat",,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,Where were you in '62?
American Hustle,2013,"Drama, Crime","Christian Bale, Bradley Cooper, Amy Adams",,"A conman and his seductive partner are forced to work for a wild FBI agent, who pushes them into a world of Jersey power-brokers and the Mafia.",Everyone hustles to survive.
American Pie,1999,"Comedy, Romance","Jason Biggs, Chris Klein, Thomas Ian Nicholas",,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",There's nothing like your first piece.
American Sniper,2014,"War, Action","Bradley Cooper, Sienna Miller, Kyle Gallner",,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",The most lethal sniper in U.S. history.
An Education,2009,"Drama, Romance","Carey Mulligan, Peter Sarsgaard, Dominic Cooper",,"Despite her sheltered upbringing, Jenny is a teen with a bright future; she's smart, pretty, and has aspirations of attending Oxford University. When David, a charming but much older suitor, motors into her life in a shiny automobile, Jenny gets a taste of adult life that she won't soon forget.",An education isn't always by the book.
An Officer and a Gentleman,1982,"Drama, Romance","Richard Gere, Debra Winger, Louis Gossett Jr.",,"Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.","Life gave him nothing, except the courage to win...and a woman to love."
An Unmarried Woman,1978,"Drama, Romance, Comedy","Jill Clayburgh, Alan Bates, Michael Murphy",,A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,"She laughs, she cries, she feels angry, she feels lonely, she feels guilty, she makes breakfast, she makes love, she makes do, she is strong, she is weak, she is brave, she is scared, she is… an unmarried woman."
Anatomy of a Fall,2023,"Thriller, Mystery, Crime","Sandra Hüller, Swann Arlaud, Milo Machado-Graner",,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",Did she do it?
Angels & Demons,2009,"Thriller, Mystery","Tom Hanks, Ewan McGregor, Ayelet Zurer",,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.",The holiest event of our time. Perfect for their return.
Annie Hall,1977,"Comedy, Drama, Romance","Woody Allen, Diane Keaton, Tony Roberts",,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,A nervous romance.
Anora,2024,"Drama, Comedy, Romance","Mikey Madison, Mark Eydelshteyn, Yura Borisov",,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",Love is a hustle.
Another Round,2020,"Comedy, Drama","Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang",,Four stagnant high school teachers decide to test out a theory that maintaining a constant level of intoxication will improve their overall lives.,What is youth? A dream. What is love? The content of the dream.
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Science Fiction","Paul Rudd, Evangeline Lilly, Michael Douglas",,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",Witness the beginning of a new dynasty.
Anyone But You,2023,"Romance, Comedy","Sydney Sweeney, Glen Powell, Mia Artemis",,"After an amazing first date, Bea and Ben’s fiery attraction turns ice cold — until they find themselves unexpectedly reunited at a destination wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",They only look like the perfect couple.
Apocalypse Now,1979,"Drama, War","Martin Sheen, Marlon Brando, Frederic Forrest",,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",This is the end...
Apollo 13,1995,"Drama, History","Tom Hanks, Bill Paxton, Kevin Bacon",,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","Houston, we have a problem."
Aquaman,2018,"Action, Adventure, Fantasy","Jason Momoa, Amber Heard, Willem Dafoe",,"Half-human, half-Atlantean Arthur Curry is taken on the journey of his lifetime to discover if he is worth of being a king.",Home is calling.
Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy","Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II",,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Arthur (Aquaman) forges an alliance with his imprisoned brother. They must protect the kingdom.",The tide is turning.
Argo,2012,"Drama, Thriller","Ben Affleck, Bryan Cranston, Alan Arkin",,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",The movie was fake. The mission was real.
Armageddon,1998,"Action, Science Fiction, Adventure","Bruce Willis, Billy Bob Thornton, Ben Affleck",,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",For love. For honor. For mankind.
Arrival,2016,"Drama, Science Fiction, Mystery","Amy Adams, Jeremy Renner, Forest Whitaker",,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",Why are they here?
As Good as It Gets,1997,"Drama, Comedy, Romance","Jack Nicholson, Helen Hunt, Greg Kinnear",,"A misanthropic author, a single mother and waitress, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",A comedy from the heart that goes for the throat.
Atlantic City,1980,"Crime, Drama, Romance","Burt Lancaster, Susan Sarandon, Kate Reid",,"In a corrupt city, a small-time gangster and the estranged wife of a pot dealer find themselves thrown together in an escapade of love, money, drugs and danger.",Where dreamers can be winners.
Atonement,2007,"Drama, Romance","James McAvoy, Keira Knightley, Saoirse Ronan",,A young girl irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Torn apart by betrayal. Separated by war. Bound by love.
Austin Powers: The Spy Who Shagged Me,1999,"Comedy, Adventure, Crime","Mike Myers, Heather Graham, Verne Troyer",,"When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo,’ Austin must return to the swingin' '60s himself - with the help of American agent, Felicity Shagwell - to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions to try to save the world in his own unbelievably groovy way.",First he fought for the Crown. Now he's fighting for the Family Jewels.
Avatar: The Way of Water,2022,"Action, Adventure, Science Fiction","Sam Worthington, Zoe Saldaña, Sigourney Weaver",,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",Return to Pandora.
Avengers: Age of Ultron,2015,"Action, Adventure, Science Fiction","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A new age has come.
Avengers: Infinity War,2018,"Adventure, Action, Science Fiction","Robert Downey Jr., Chris Evans, Chris Hemsworth",,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",Destiny arrives all the same.
Awakenings,1990,Drama,"Robert De Niro, Robin Williams, John Heard",,"Dr. Malcolm Sayer, a shy research physician, uses an experimental drug to ""awaken"" the catatonic victims of a rare disease. Leonard is the first patient to receive the controversial treatment. His awakening, filled with awe and enthusiasm, proves a rebirth for Sayer too, as the exuberant patient reveals life's simple but unutterably sweet pleasures to the introverted doctor.",There is no such thing as a simple miracle.
Babe,1995,"Fantasy, Drama, Comedy","Christine Cavanaugh, Miriam Margolyes, Danny Mann",,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",A little pig goes a long way.
Babel,2006,Drama,"Brad Pitt, Rinko Kikuchi, Adriana Barraza",,"Tragedy strikes a married couple vacationing in the Moroccan desert, which jumpstarts an interlocking story involving four different families.",If you want to be understood... listen.
Bad Boys for Life,2020,"Thriller, Action, Crime","Will Smith, Martin Lawrence, Vanessa Hudgens",,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",Ride together. Die together.
Bad Boys: Ride or Die,2024,"Action, Comedy, Crime","Will Smith, Martin Lawrence, Vanessa Hudgens",,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",Miami's finest are now its most wanted.
Barbie,2023,"Comedy, Adventure, Fantasy","Margot Robbie, Ryan Gosling, America Ferrera",,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",She's everything. He's just Ken.
Basic Instinct,1992,"Thriller, Mystery","Michael Douglas, Sharon Stone, George Dzundza",,"Catherine, a novelist with an insatiable sexual appetite, becomes a prime suspect when her boyfriend is brutally murdered -- a crime she had described in her latest story.",A brutal murder. A brilliant killer. A cop who can't resist the danger.
Batman & Robin,1997,"Action, Science Fiction, Adventure","George Clooney, Chris O'Donnell, Arnold Schwarzenegger",,"Batman and his sidekick Robin attempt to the foil the sinister schemes of a deranged set of new villains, most notably the melancholy Mr. Freeze, who wants to make Gotham City into an arctic region, and the sultry Poison Ivy, a botanical femme fatale. As the Dynamic Duo contend with these bad guys, a third hero, Batgirl, joins the ranks of the city's crime-fighters.","Strength now. Courage always. Family, above all. Batman and Robin!"
Batman Forever,1995,"Action, Crime, Fantasy","Val Kilmer, Tommy Lee Jones, Jim Carrey",,"Batman faces off against two foes: the schizophrenic, horribly scarred former District Attorney Harvey Dent, aka Two-Face, and the Riddler, a disgruntled ex-Wayne Enterprises inventor seeking revenge against his former employer by unleashing his brain-sucking weapon on Gotham City's residents. As the caped crusader also copes with tortured memories of his parents' murder, he has a new romance, with psychologist Chase Meridian.","Courage now, truth always, Batman forever!"
Batman Returns,1992,"Action, Fantasy","Michael Keaton, Danny DeVito, Michelle Pfeiffer",,"The monstrous Penguin, who dwells in the sewers beneath Gotham, joins up with corrupt mayoral candidate Max Shreck to topple the Batman once and for all. But when Shreck's timid assistant Selina Kyle finds out, and Shreck tries to kill her, she's transformed into the sexy Catwoman. She teams up with the Penguin and Shreck to destroy Batman, but sparks fly unexpectedly when she confronts the caped crusader.",The Bat. The Cat. The Penguin.
Beasts of the Southern Wild,2012,"Drama, Fantasy","Quvenzhané Wallis, Dwight Henry, Levy Easterly",,"Hushpuppy, an intrepid six-year-old girl, lives with her father, Wink, in 'the Bathtub', a southern Delta community at the edge of the world. Wink’s tough love prepares her for the unraveling of the universe—for a time when he’s no longer there to protect her. When Wink contracts a mysterious illness, nature flies out of whack—temperatures rise and the ice caps melt, unleashing an army of prehistoric creatures called aurochs. With the waters rising, the aurochs coming, and Wink’s health fading, Hushpuppy goes in search of her lost mother.",I gotta take care of mine.
Beauty and the Beast,1991,"Romance, Family, Animation","Paige O'Hara, Robby Benson, Richard White",,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",The most beautiful love story ever told.
Belfast,2021,"Drama, History","Jude Hill, Jamie Dornan, Caitríona Balfe",,"Buddy is a young boy on the cusp of adolescence, whose life is filled with familial love, childhood hijinks, and a blossoming romance. Yet, with his beloved hometown caught up in increasing turmoil, his family faces a momentous choice: hope the conflict will pass or leave everything they know behind for a new life.","No matter how far you go, you never forget where you came from."
Beverly Hills Cop,1984,"Comedy, Crime, Action","Eddie Murphy, Judge Reinhold, John Ashton",,"Fast-talking, quick-thinking Detroit street cop Axel Foley has bent more than a few rules and regs in his time, but when his best friend is murdered, he heads to sunny Beverly Hills to work the case like only he can.","He's been chased, thrown through a window and arrested. Eddie Murphy is a Detroit cop on vacation in Beverly Hills."
Beverly Hills Cop II,1987,"Action, Comedy, Crime","Eddie Murphy, Judge Reinhold, John Ashton",,"Axel Foley returns to the land of sunshine and palm trees to investigate the near-fatal shooting of police Captain Andrew Bogomil. With the help of Sgt. Taggart and Det. Rosewood, they soon uncover that the shooting is associated with a series of ""alphabet"" robberies masterminded by a heartless weapons kingpin—and the chase is on.",Axel Foley is back. Back where he doesn't belong.
Big,1988,"Fantasy, Drama, Comedy","Tom Hanks, Elizabeth Perkins, Robert Loggia",,When a young boy makes a wish at a carnival machine to be big—he wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman.,Have you ever had a really big secret?
Big Hero 6,2014,"Adventure, Family, Animation","Scott Adsit, Ryan Potter, Daniel Henney",,"A special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",Drop everything. Save the world.
Birdman or (The Unexpected Virtue of Ignorance),2014,"Drama, Comedy","Michael Keaton, Emma Stone, Zach Galifianakis",,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",How did we end up here?
Black Panther: Wakanda Forever,2022,"Action, Adventure, Science Fiction","Letitia Wright, Tenoch Huerta Mejía, Lupita Nyong'o",,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",Forever.
Black Swan,2010,"Drama, Thriller, Horror","Natalie Portman, Mila Kunis, Vincent Cassel",,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake.""",I just want to be perfect.
Black Widow,2021,"Action, Adventure, Science Fiction","Scarlett Johansson, Florence Pugh, Rachel Weisz",,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",Her world. Her secrets. Her legacy.
BlacKkKlansman,2018,"Crime, Comedy, Drama","John David Washington, Adam Driver, Topher Grace",,"Colorado Springs, late 1970s. Ron Stallworth, an African American police officer, and Flip Zimmerman, his Jewish colleague, run an undercover operation to infiltrate the Ku Klux Klan.",Infiltrate hate.
